Human,Mouse
ACTB,Gnai3
B2M,Fer
HNRPLL,Tfe3
HPRT,Brat1
PSMB2,Gpr107
PSMB4,Rtca
PPIA,Dazap2
PRPS1,Ccm2
PRPS1L1,Ndufa9
PRPS2,Mkrn2
PRPSAP1,Raf1
PRPSAP2,Wdr77
RPL10,Atp5f1
RPL10A,C1d
RPL10L,Krit1
RPL11,Rab5b
RPL12,Spg7
RPL13,Chmp1a
RPL14,Tubgcp3
RPL15,Polr3d
RPL17,Ddx3x
RPL18,Tpd52l2
RPL19,Fmr1
RPL21,Gnb1l
RPL22,Nsun5
RPL22L1,Oxa1l
RPL23,Chtop
RPL24,Snapin
RPL26,Sec24b
RPL27,Rmnd5b
RPL28,Zfp276
RPL29,Mfsd10
RPL3,Poldip2
RPL30,Ift20
RPL32,Snrnp27
RPL34,Dpp9
RPL35,Myg1
RPL36,Pfdn5
RPL37,Hars
RPL38,Zmat2
RPL39,Cct3
RPL39L,Mrpl10
RPL3L,Def8
RPL4,Itfg2
RPL41,Nom1
RPL5,Ergic1
RPL6,Ifrd1
RPL7,Coasy
RPL7A,Crnkl1
RPL7L1,Rtcb
RPL8,Pwp1
RPL9,Clpb
RPLP0,Zdhhc4
RPLP1,Rac1
RPLP2,Nup214
RPS10,Trmt1
RPS11,Siae
RPS12,Fam50a
RPS13,Emd
RPS14,Taco1
RPS15,Ap4e1
RPS15A,Idh3g
RPS16,Sdf2
RPS17,Psmc3
RPS18,Acp2
RPS19,Vrk3
RPS20,Smg9
RPS21,Lmf1
RPS24,Narfl
RPS25,Daxx
RPS26,Tm9sf1
RPS27,Gmpr2
RPS27A,Mdp1
RPS27L,Ranbp3
RPS28,Use1
RPS29,Hltf
RPS3,Prpf6
RPS3A,Puf60
RPS4X,Golga2
RPS5,Uck1
RPS6,Ccdc97
RPS6KA1,Pdcd2l
RPS6KA2,Gtf2f1
RPS6KA3,Clpp
RPS6KA4,Alkbh7
RPS6KA5,Med6
RPS6KA6,Naa20
RPS6KB1,Pex6
RPS6KB2,Mrpl2
RPS6KC1,Mea1
RPS6KL1,Flii
RPS7,Qtrt1
RPS8,Adprh
RPS9,Timmdc1
RPSA,Tpra1
TRPS1,Map2k7
UBB,Timm44
,Ap2a2
,Pnkp
,Clptm1
,Tomm40
,Rab8a
,Fam32a
,Stk11
,Vrk3
,Ppp5c
,Tbc1d8
,Cnot11
,Irf3
,Zfp959
,Sh3gl1
,Ccdc94
,Abcf3
,Eif2b5
,Mrpl4
,Keap1
,Abhd17a
,Ddx23
,Prkcsh
,Nosip
,Pih1d1
,Rps11
,Supt5
,Paf1
,Timm50
,Med29
,Ncstn
,Pex19
,Ciao1
,Kpna6
,Adck4
,Brd8
,Farsa
,Calr
,Nob1
,Bax
,Tfam
,Rpl8
,Akt2
,Dnaja3
,Hmox2
,Cwc15
,Trmt10a
,Ikbkg
,Phb2
,Atp6v1f
,Cul3
,Ddx56
,Tmed4
,Ppp1cc
,Dnajb11
,Tbccd1
,Tax1bp1
,Wwox
,Polr2e
,Eif2b2
,Dlst
,Ap1s1
,Prcc
,Rrnad1
,Pias4
,Map2k1
,Tmem242
,Ccdc130
,Mri1
,Pex5
,Eif2ak4
,Wdr1
,Wdr83
,Ufd1l
,Letm1
,Ubqln1
,Txn2
,Crbn
,Tbl2
,Cic
,Dnajb1
,Ndufs3
,Insr
,Ctr9
,Pcyt1a
,Psmd4
,Snx6
,Tomm40l
,Bcas2
,Ctcf
,Psmb4
,Metap1
,Rsl1d1
,Uqcc1
,Ncoa2
,Pex1
,Kctd20
,Ctns
,Naa60
,Tpr
,Kptn
,Napa
,Sra1
,Crkl
,Cdkal1
,Osgep
,Aamp
,Arpc2
,Tmem147
,Rps9
,Tfpt
,Med8
,Rnf114
,Ndor1
,Tmem110
,Sfmbt1
,Gtf2h1
,Qrich1
,Usp19
,Cdc42
,Kif5b
,Tmco6
,Ezh1
,Psmd2
,Abhd16a
,Mrpl49
,Gatad1
,Lrrc8a
,Fance
,Arpp19
,Ccdc124
,Cct4
,Zfp655
,Rhoa
,Rplp1
,Ap2s1
,Emc10
,Ubc
,Herpud2
,Arpc5
,Rpl10
,Ncaph2
,Hipk1
,Acyp1
,Vdac3
,Dynll1
,Zmat5
,Ap1b1
,Ube2g2
,Rnmt
,Srp14
,Cdk9
,Tor2a
,Dmap1
,Taz
,Tmem115
,Rassf1
,Slc3a2
,Nxf1
,Stx5a
,Nedd8
,Gosr1
,Mrpl52
,Kansl3
,Faf1
,Pigyl
,Rbm25
,Apip
,Pdhx
,Vac14
,Tbrg1
,Brf1
,Thg1l
,Sugp1
,Fuz
,Evi5
,Snapc2
,Bnip2
,Ccnt1
,Med15
,Dhdds
,Rpl15
,Tmem167
,Mplkip
,Tnpo3
,Ttll5
,Zfp715
,Rps5
,Nelfb
,Tmem175
,Ndufs2
,Sh3bp5l
,Timm23
,Trnt1
,Elof1
,Med16
,Rnf170
,Dedd
,Nit1
,Rnf168
,Chp1
,Tvp23b
,Cacybp
,Pigl
,Ndufa2
,Pam16
,Ube2z
,Rnf166
,Ankrd28
,Ankrd52
,Srp19
,Mrps25
,Dguok
,Slc25a11
,Tex261
,Psmb1
,Pdcd2
,Tmem208
,Surf2
,Dnajb9
,Ppp1cb
,Gorasp2
,Efr3a
,Acsf3
,Rabl6
,Edf1
,Fbxw5
,Ube2i
,Tsr3
,Sirt2
,Hnrnpl
,Lage3
,Ubl4
,Golga7
,Clpx
,Trabd
,Ppt2
,Mocs2
,Nat9
,Hspa8
,Pdzd11
,Psma2
,Mrpl32
,Cers2
,Capza2
,Aph1a
,Tab2
,Ppil4
,Cnih1
,Surf1
,Med28
,Prpsap1
,Bola1
,Actr8
,Fnta
,Atp5e
,Nelfcd
,Slmo2
,Ube2a
,Nkap
,Gtf3a
,Mtif3
,Eif3d
,Tox4
,Mrps18c
,Nbr1
,Coa3
,Psmd3
,Exosc10
,Glod4
,Vps53
,Dnttip1
,Acot8
,Rpl19
,Zfp207
,Psmd11
,Slc35c2
,Rhot1
,Pgs1
,Pigt
,Crk
,Pitpna
,Mlx
,Rab5a
,Ppp2r5c
,Ift52
,Rrp7a
,Cyb5r3
,Med13l
,Med1
,Stard3
,Vmp1
,Uchl5
,Glrx2
,Zcchc10
,Psmb6
,Spag7
,Tomm34
,Ywhab
,Zkscan6
,Gid4
,Derl2
,C1qbp
,Rpain
,Appbp2
,Cwc25
,Ctdnep1
,Elp5
,Gabarap
,Cog1
,Cdk5rap3
,Sp2
,Aatf
,Pex12
,Ndel1
,Smyd4
,Rad51d
,Rars
,Ict1
,Mrpl45
,Med11
,Natd1
,Nars2
,Slc35b4
,Fis1
,Hars2
,Mdh2
,Ppp1r12c
,Tmem129
,Cops3
,Fkbp8
,Gipc1
,Xab2
,Cdc37
,Rab4a
,Cops6
,Ubb
,Ubxn6
,Ccdc12
,Mrpl24